label,file,mean,abs_mean,std,variance,rms,peak_to_peak,peak,kurtosis,skewness,crest_factor,impulse_factor,margin_factor,spec_mean,spec_std,spec_centroid,spec_rms,spec_peak_amp,spec_peak_freq,spec_kurtosis,spec_skewness
B,12k_Drive_End_B007_0_118.mat,1.5612511283791264e-17,0.799686037212644,1.0,1.0000000000000002,1.0,6.828766018398834,3.636236409399842,2.9336108133968004,0.015153270005821205,3.636236409399842,4.547080029150156,5.39179217601779,0.016141293345261022,0.026758587629090926,2707.9882868609147,0.03125001380418104,0.2044968214548694,3375.0,16.012564252195936,3.293046514451235
B,12k_Drive_End_B007_0_118.mat,1.3227266504323154e-17,0.8002857323695053,1.0,1.0,1.0,6.7510055463658265,3.5929472228517825,3.0778718625205683,0.03796510682936233,3.5929472228517825,4.489580505469838,5.259240380291036,0.015477093543334574,0.027148150497901827,2635.2153324551664,0.031250000000093696,0.30617631858463307,3363.28125,37.323927374072866,4.728269961867991
B,12k_Drive_End_B007_0_118.mat,2.0599841277224584e-17,0.8110130971081164,0.9999999999999999,0.9999999999999998,0.9999999999999999,6.201791422132629,3.2759552973697033,2.8428834012267346,0.007850079491000753,3.2759552973697037,4.039337106948082,4.690710540885064,0.017080350377699748,0.026169193905923222,2657.108413745765,0.031250041259345517,0.22460092724866726,3351.5625,17.4763631410325,3.286006440302953
B,12k_Drive_End_B007_0_118.mat,2.6020852139652106e-17,0.8085530725926557,0.9999999999999999,0.9999999999999999,0.9999999999999999,6.260923708398124,3.5613511829350153,2.8882118161833894,-0.05467242319792761,3.5613511829350157,4.404597921464091,5.135655888958932,0.016170583768564138,0.02674088107403049,2634.168131317251,0.03125000000050548,0.19522862273468705,3363.28125,15.591102180678744,3.23091492167344
B,12k_Drive_End_B007_0_118.mat,-6.938893903907228e-18,0.7981824639724973,0.9999999999999999,0.9999999999999999,0.9999999999999999,6.734458626713751,3.419544663209723,3.1232678709673714,-0.01826712658381236,3.4195446632097233,4.284164107278044,5.024170578570435,0.01582617274383043,0.026946149065145187,2658.604318095687,0.03125000309053722,0.18989318963413246,3234.375,16.20150321198006,3.332483448182905
B,12k_Drive_End_B007_0_118.mat,-6.938893903907228e-18,0.7883282733722219,1.0,1.0,1.0,7.023756946780572,3.68683324647727,3.2727662883188713,-0.001810707480182281,3.68683324647727,4.676774094002933,5.546234668776224,0.016263946088659394,0.026684200526869532,2617.797264790365,0.031250000002128055,0.16707896239319994,3234.375,13.505028201994142,3.065598207360311
B,12k_Drive_End_B007_0_118.mat,-1.6479873021779667e-17,0.7992823324590798,1.0,1.0000000000000002,1.0,6.0836127409612075,3.0839439999107205,2.7950557744805677,0.022962773952616543,3.0839439999107205,3.8583913026359893,4.569062825970131,0.016637940760138574,0.026452630359165407,2621.642121307505,0.031250003610504104,0.18785390144966327,3234.375,15.477525189921995,3.158022221568548
B,12k_Drive_End_B007_0_118.mat,-2.8189256484623115e-17,0.8021080785024325,1.0,1.0000000000000002,1.0,5.680918953190204,2.945958010845004,2.7567077250167005,0.005144427615892393,2.945958010845004,3.6727694057703846,4.3439995586418725,0.017350418159035833,0.025990898227688863,2665.7553242237286,0.03125002081560076,0.16447357763911252,3269.53125,11.257919866041126,2.7424691219797293
B,12k_Drive_End_B007_0_118.mat,2.45029690981724e-17,0.8082102557670215,0.9999999999999999,0.9999999999999998,0.9999999999999999,5.853027348638632,3.262071718554369,2.6948552678405497,-0.04198980789107069,3.2620717185543695,4.036167191987117,4.74101360468751,0.016602466505231436,0.026474946439069516,2676.6469100886625,0.03125003492812339,0.20327504987068545,3410.15625,18.114939963128695,3.491289336865717
B,12k_Drive_End_B007_0_118.mat,4.119968255444917e-18,0.826231116561631,0.9999999999999999,0.9999999999999999,0.9999999999999999,5.515115912036439,3.076074003636344,2.4516143230354785,-0.007498018428105479,3.0760740036363443,3.72301882848162,4.300034024122207,0.016293322164028175,0.026666288931087256,2684.7973318112213,0.031250012999949915,0.23703598205199305,3363.28125,23.164430697273154,3.7623654572286545
B,12k_Drive_End_B007_0_118.mat,9.540979117872439e-18,0.8252765439905381,1.0,1.0,1.0,6.220924347435011,3.2863611829706336,2.511354388162084,-0.007547037945367062,3.2863611829706336,3.98213327023664,4.603410080953999,0.016533644822662612,0.026517943572060793,2653.9126802056776,0.031250003878607095,0.1778859805142057,3421.875,13.645218177182524,3.065243494454215
B,12k_Drive_End_B007_0_118.mat,3.903127820947816e-18,0.7999649520537042,1.0,1.0,1.0,6.26087028667155,3.416795458862933,2.857031615125434,-0.07707235549002515,3.416795458862933,4.271181443750992,5.064197160753074,0.016351607733592767,0.026630573487174358,2663.450958769564,0.031250000315665355,0.18101919337299519,3375.0,15.801685269451358,3.2227713575517343
B,12k_Drive_End_B007_0_118.mat,3.5561831257524545e-17,0.7813622864667502,1.0,1.0000000000000002,1.0,6.772091641290923,3.816274933885227,3.3070538837448917,-0.09864778479306359,3.816274933885227,4.88412993560526,5.861862569452398,0.017024884916168492,0.026205341165258862,2712.9199938746483,0.03125006579187301,0.18170714881553285,3445.3125,13.030770392581845,2.9628205009420316
B,12k_Drive_End_B007_0_118.mat,-2.42861286636753e-17,0.7886035707665788,1.0000000000000002,1.0000000000000004,1.0000000000000002,6.807094893102722,3.7340366558258404,3.1730187079449674,-0.0005301537479197868,3.7340366558258395,4.734998412695609,5.617486411327773,0.016067621335033422,0.026802877039357766,2663.1295671953885,0.031250002767247126,0.18980136963113,3304.6875,16.730467123947385,3.350929747438996
B,12k_Drive_End_B007_0_118.mat,-8.673617379884035e-19,0.7977018515802139,0.9999999999999999,0.9999999999999999,0.9999999999999999,6.173929236416021,3.199137720072321,2.8668592139812037,-0.03390879835290719,3.1991377200723212,4.010442891332097,4.75137934122456,0.016206670416385988,0.026719054722738,2688.582286021372,0.031250024820182604,0.23151760648986383,3292.96875,19.874311157826284,3.55918052525916
B,12k_Drive_End_B007_0_118.mat,2.0816681711721685e-17,0.7983790111357487,1.0,1.0,1.0,6.120911361548709,3.399882346522942,2.8764346508217695,-0.14176047600451785,3.399882346522942,4.258481622264064,5.044018749080768,0.017400711084990365,0.0259572315412945,2601.342467839451,0.031250001848826835,0.1454439205777833,3011.71875,9.555799425844278,2.514263332306301
B,12k_Drive_End_B007_0_118.mat,3.469446951953614e-18,0.7996336160232161,1.0,1.0,1.0,6.585296151707486,3.3886538726947637,2.9450149683656623,-0.044581423815136495,3.3886538726947637,4.237758149222655,4.994645723308339,0.016711081064735785,0.026406515916147594,2706.9616604474704,0.031250029010897365,0.16658754766215447,3281.25,12.4514433535562,2.902331636344309
